repo,focal_method,test_method,missed_branches,total_branches,missed_lines,total_lines,branch_coverage,line_coverage
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test0,704,741,1549,1667,0.04993252361673414,0.07078584283143372
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test1,686,741,1544,1667,0.07422402159244265,0.07378524295140972
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test2,672,741,1497,1667,0.0931174089068826,0.10197960407918416
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test3,706,741,1577,1667,0.04723346828609987,0.05398920215956809
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test4,707,741,1578,1667,0.04588394062078273,0.05338932213557288
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test5,724,741,1610,1667,0.022941970310391364,0.03419316136772645
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test6,729,741,1613,1667,0.016194331983805668,0.03239352129574085
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test7,686,741,1540,1667,0.07422402159244265,0.07618476304739052
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java###match,test8,659,741,1478,1667,0.1106612685560054,0.11337732453509299
GoSimpleLLC_nbvcxz,GoSimpleLLC_nbvcxz/src/main/java/me/gosimple/nbvcxz/matching/match/SequenceMatch.java###getFirstCharacter,test0,735,741,1621,1667,0.008097165991902834,0.027594481103779243
