repo,focal_method,test_method,missed_branches,total_branches,missed_lines,total_lines,branch_coverage,line_coverage
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###registerReader,test02,723,729,1413,1504,0.00823045267489712,0.06050531914893617
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###registerReader,test03,723,729,1421,1504,0.00823045267489712,0.05518617021276596
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###addAttributeInfo,test04,724,729,1414,1504,0.006858710562414266,0.0598404255319149
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###addAttributeInfo,test06,724,729,1413,1504,0.006858710562414266,0.06050531914893617
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###addAttributeInfo,test09,724,729,1414,1504,0.006858710562414266,0.0598404255319149
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getDetail,test04,724,729,1414,1504,0.006858710562414266,0.0598404255319149
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getArrayType,test04,724,729,1414,1504,0.006858710562414266,0.0598404255319149
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getArrayType,test06,724,729,1413,1504,0.006858710562414266,0.06050531914893617
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getArrayType,test09,724,729,1414,1504,0.006858710562414266,0.0598404255319149
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getArrayType,test18,724,729,1419,1504,0.006858710562414266,0.05651595744680851
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getArrayType,test19,724,729,1420,1504,0.006858710562414266,0.05585106382978723
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getArrayType,test20,724,729,1419,1504,0.006858710562414266,0.05651595744680851
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getType,test05,724,729,1423,1504,0.006858710562414266,0.0538563829787234
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getAttributeType,test06,724,729,1413,1504,0.006858710562414266,0.06050531914893617
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getPath,test07,724,729,1423,1504,0.006858710562414266,0.0538563829787234
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getPath,test11,719,729,1415,1504,0.013717421124828532,0.059175531914893616
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getPath,test15,722,729,1419,1504,0.009602194787379973,0.05651595744680851
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getAttributeInfos,test08,724,729,1423,1504,0.006858710562414266,0.0538563829787234
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getCode,test10,724,729,1423,1504,0.006858710562414266,0.0538563829787234
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getCode,test11,719,729,1415,1504,0.013717421124828532,0.059175531914893616
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###getCode,test15,722,729,1419,1504,0.009602194787379973,0.05651595744680851
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###equals,test11,719,729,1415,1504,0.013717421124828532,0.059175531914893616
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###equals,test12,719,729,1417,1504,0.013717421124828532,0.05784574468085106
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###equals,test13,719,729,1417,1504,0.013717421124828532,0.05784574468085106
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###equals,test14,721,729,1420,1504,0.010973936899862825,0.05585106382978723
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/JsonReaderCodeGenerator.java###equals,test15,722,729,1419,1504,0.009602194787379973,0.05651595744680851
