repo,focal_method,test_method,missed_branches,total_branches,missed_lines,total_lines,branch_coverage,line_coverage
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/oauth/InstagramService.java###signRequest,test0,306,307,1696,1739,0.003257328990228013,0.024726854514088556
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/oauth/InstagramService.java###signRequest,test7,307,307,1722,1739,0.0,0.0097757331799885
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/oauth/InstagramService.java###getVersion,test0,306,307,1696,1739,0.003257328990228013,0.024726854514088556
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/oauth/InstagramService.java###getVersion,test4,306,307,1718,1739,0.003257328990228013,0.012075905692926969
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/oauth/InstagramService.java###getAccessToken,test1,306,307,1697,1739,0.003257328990228013,0.024151811385853938
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/oauth/InstagramService.java###getRequestToken,test5,307,307,1727,1739,0.0,0.006900517538815411
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/model/OAuthRequest.java###addOAuthParameter,test0,306,307,1720,1739,0.003257328990228013,0.010925819436457734
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/model/OAuthRequest.java###addOAuthParameter,test1,307,307,1725,1739,0.0,0.008050603795284647
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/model/OAuthRequest.java###addOAuthParameter,test2,305,307,1723,1739,0.006514657980456026,0.009200690051753882
sachin-handiekar_jInstagram,sachin-handiekar_jInstagram/src/main/java/org/jinstagram/auth/model/OAuthRequest.java###addOAuthParameter,test5,305,307,1720,1739,0.006514657980456026,0.010925819436457734
