repo,focal_method,test_method,missed_branches,total_branches,missed_lines,total_lines,branch_coverage,line_coverage
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/CohenSutherlandClipping.java###isInTheSameRegionAs,test00,1393,1399,2805,2817,0.004288777698355968,0.004259850905218318
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isSpanning,test00,1399,1399,2774,2817,0.0,0.01526446574369897
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isSpanning,test04,1388,1399,2749,2817,0.007862759113652609,0.024139155129570464
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isSpanning,test05,1398,1399,2771,2817,0.0007147962830593281,0.01632942847000355
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isSpanning,test07,1388,1399,2748,2817,0.007862759113652609,0.024494142705005325
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isSpanning,test08,1394,1399,2758,2817,0.0035739814152966403,0.020944266950656727
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isSpanning,test09,1399,1399,2773,2817,0.0,0.01561945331913383
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isSpanning,test10,1399,1399,2773,2817,0.0,0.01561945331913383
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###setSpanning,test00,1399,1399,2774,2817,0.0,0.01526446574369897
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###getText,test01,1399,1399,2775,2817,0.0,0.014909478168264111
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###getText,test04,1388,1399,2749,2817,0.007862759113652609,0.024139155129570464
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###getText,test05,1398,1399,2771,2817,0.0007147962830593281,0.01632942847000355
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###getText,test08,1394,1399,2758,2817,0.0035739814152966403,0.020944266950656727
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isPlaceholder,test04,1388,1399,2749,2817,0.007862759113652609,0.024139155129570464
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isPlaceholder,test05,1398,1399,2771,2817,0.0007147962830593281,0.01632942847000355
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isPlaceholder,test06,1399,1399,2774,2817,0.0,0.01526446574369897
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isPlaceholder,test07,1388,1399,2748,2817,0.007862759113652609,0.024494142705005325
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isPlaceholder,test08,1394,1399,2758,2817,0.0035739814152966403,0.020944266950656727
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isPlaceholder,test09,1399,1399,2773,2817,0.0,0.01561945331913383
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###isPlaceholder,test10,1399,1399,2773,2817,0.0,0.01561945331913383
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Cell.java###setPlaceholder,test06,1399,1399,2774,2817,0.0,0.01526446574369897
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/TextChunk.java###hashCode,test02,1398,1399,2777,2817,0.0007147962830593281,0.014199503017394392
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test00,1398,1399,2765,2817,0.0007147962830593281,0.01845935392261271
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test01,1398,1399,2765,2817,0.0007147962830593281,0.01845935392261271
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test03,1385,1399,2731,2817,0.010007147962830594,0.03052893148739794
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test04,1398,1399,2767,2817,0.0007147962830593281,0.01774937877174299
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test06,1394,1399,2747,2817,0.0035739814152966403,0.024849130280440185
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test07,1390,1399,2741,2817,0.006433166547533953,0.026979055733049342
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test08,1389,1399,2736,2817,0.007147962830593281,0.02875399361022364
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test09,1391,1399,2737,2817,0.005718370264474625,0.028399006034788784
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###empty,test10,1398,1399,2764,2817,0.0007147962830593281,0.018814341498047567
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getPageNumber,test00,1398,1399,2765,2817,0.0007147962830593281,0.01845935392261271
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getPageNumber,test01,1398,1399,2765,2817,0.0007147962830593281,0.01845935392261271
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getPageNumber,test02,1398,1399,2760,2817,0.0007147962830593281,0.02023429179978701
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getPageNumber,test10,1398,1399,2764,2817,0.0007147962830593281,0.018814341498047567
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getPageNumber,test11,1398,1399,2761,2817,0.0007147962830593281,0.01987930422435215
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###setPageNumber,test00,1398,1399,2765,2817,0.0007147962830593281,0.01845935392261271
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###setPageNumber,test01,1398,1399,2765,2817,0.0007147962830593281,0.01845935392261271
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getExtractionMethod,test02,1398,1399,2760,2817,0.0007147962830593281,0.02023429179978701
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getExtractionMethod,test03,1385,1399,2731,2817,0.010007147962830594,0.03052893148739794
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getColCount,test02,1398,1399,2760,2817,0.0007147962830593281,0.02023429179978701
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getColCount,test03,1385,1399,2731,2817,0.010007147962830594,0.03052893148739794
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getColCount,test06,1394,1399,2747,2817,0.0035739814152966403,0.024849130280440185
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getColCount,test08,1389,1399,2736,2817,0.007147962830593281,0.02875399361022364
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getColCount,test09,1391,1399,2737,2817,0.005718370264474625,0.028399006034788784
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getColCount,test10,1398,1399,2764,2817,0.0007147962830593281,0.018814341498047567
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getColCount,test11,1398,1399,2761,2817,0.0007147962830593281,0.01987930422435215
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getRowCount,test02,1398,1399,2760,2817,0.0007147962830593281,0.02023429179978701
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getRowCount,test03,1385,1399,2731,2817,0.010007147962830594,0.03052893148739794
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getRowCount,test08,1389,1399,2736,2817,0.007147962830593281,0.02875399361022364
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getRowCount,test09,1391,1399,2737,2817,0.005718370264474625,0.028399006034788784
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getRowCount,test10,1398,1399,2764,2817,0.0007147962830593281,0.018814341498047567
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/Table.java###getRowCount,test11,1398,1399,2761,2817,0.0007147962830593281,0.01987930422435215
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/QuickSort.java###sort,test0,1386,1399,2778,2817,0.009292351679771264,0.013844515441959531
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/QuickSort.java###sort,test1,1386,1399,2778,2817,0.009292351679771264,0.013844515441959531
tabulapdf_tabula-java,tabulapdf_tabula-java/src/main/java/technology/tabula/QuickSort.java###sort,test2,1388,1399,2779,2817,0.007862759113652609,0.013489527866524671
