GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nbvcxz,me.gosimple.nbvcxz,Nbvcxz,1212,6,150,0,252,1,97,1,22,1
nbvcxz,me.gosimple.nbvcxz,Nbvcxz.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
nbvcxz,me.gosimple.nbvcxz,Nbvcxz.StartIndexComparator,39,0,10,0,10,0,6,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.PartialDateSplit,9,0,0,0,4,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DictionaryMatcher,729,3,94,0,128,1,52,1,5,1
nbvcxz,me.gosimple.nbvcxz.matching,SeparatorMatcher,105,7,20,0,21,2,11,2,1,2
nbvcxz,me.gosimple.nbvcxz.matching,RepeatMatcher,144,3,16,0,29,1,9,1,1,1
nbvcxz,me.gosimple.nbvcxz.matching,SpacialMatcher,169,3,18,0,29,1,10,1,1,1
nbvcxz,me.gosimple.nbvcxz.matching,SequenceMatcher,221,3,40,0,46,1,21,1,1,1
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.ValidDateSplit,12,0,0,0,5,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,YearMatcher,32,3,2,0,6,1,2,1,1,1
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.FullDateSplit,12,0,0,0,5,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher,422,13,50,0,73,4,29,2,4,2
nbvcxz,me.gosimple.nbvcxz.matching.match,RepeatMatch,105,0,2,0,19,0,6,0,5,0
nbvcxz,me.gosimple.nbvcxz.matching.match,SeparatorMatch,10,0,0,0,3,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching.match,SpacialMatch,196,0,8,0,37,0,10,0,6,0
nbvcxz,me.gosimple.nbvcxz.matching.match,YearMatch,13,0,0,0,4,0,2,0,2,0
nbvcxz,me.gosimple.nbvcxz.matching.match,DateMatch,133,0,6,0,29,0,10,0,7,0
nbvcxz,me.gosimple.nbvcxz.matching.match,DictionaryMatch,465,0,44,0,93,0,36,0,14,0
nbvcxz,me.gosimple.nbvcxz.matching.match,BruteForceMatch,26,0,0,0,5,0,2,0,2,0
nbvcxz,me.gosimple.nbvcxz.matching.match,BaseMatch,179,29,7,1,37,9,13,3,9,3
nbvcxz,me.gosimple.nbvcxz.matching.match,SequenceMatch,85,0,8,0,20,0,8,0,4,0
nbvcxz,me.gosimple.nbvcxz.resources,Configuration,85,0,0,0,28,0,14,0,14,0
nbvcxz,me.gosimple.nbvcxz.resources,Dictionary,18,107,0,10,6,22,6,6,6,1
nbvcxz,me.gosimple.nbvcxz.resources,CharacterCaseUtil,57,0,12,0,15,0,8,0,2,0
nbvcxz,me.gosimple.nbvcxz.resources,FeedbackUtil,349,0,50,0,55,0,29,0,4,0
nbvcxz,me.gosimple.nbvcxz.resources,Feedback,84,0,2,0,24,0,8,0,7,0
nbvcxz,me.gosimple.nbvcxz.resources,ConfigurationBuilder,356,462,29,1,75,54,35,9,20,9
nbvcxz,me.gosimple.nbvcxz.resources,DictionaryUtil,25,119,0,6,5,24,1,5,1,2
nbvcxz,me.gosimple.nbvcxz.resources,BruteForceUtil,148,0,50,0,54,0,28,0,3,0
nbvcxz,me.gosimple.nbvcxz.resources,BestMatches,12,18,0,0,5,7,3,3,3,3
nbvcxz,me.gosimple.nbvcxz.resources,Dictionary.new Comparator() {...},0,20,0,2,0,5,0,3,0,2
nbvcxz,me.gosimple.nbvcxz.resources,AdjacencyGraph,7,12,0,0,2,5,2,2,2,2
nbvcxz,me.gosimple.nbvcxz.resources,Generator.CharacterTypes,44,0,0,0,5,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.resources,DictionaryBuilder,33,23,2,0,7,6,4,3,3,3
nbvcxz,me.gosimple.nbvcxz.resources,Generator,111,0,11,0,26,0,11,0,4,0
nbvcxz,me.gosimple.nbvcxz.resources,AdjacencyGraphUtil,311,7054,50,0,64,224,31,1,6,1
nbvcxz,me.gosimple.nbvcxz.scoring,TimeEstimate,257,0,16,0,29,0,11,0,3,0
nbvcxz,me.gosimple.nbvcxz.scoring,Result,186,0,24,0,44,0,25,0,13,0
