GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zappos-json,com.zappos.json.annot,JsonEnum.EnumValue,0,24,0,0,0,2,0,1,0,1
zappos-json,com.zappos.json.util,Strings,232,49,32,4,50,10,24,3,8,1
zappos-json,com.zappos.json.util,ObjectArray,113,31,13,1,26,5,15,3,8,3
zappos-json,com.zappos.json.util,TypeImpl,115,0,22,0,24,0,16,0,5,0
zappos-json,com.zappos.json.util,JsonUtils,181,75,31,2,55,17,23,2,5,1
zappos-json,com.zappos.json.util,Reflections,241,10,50,0,62,3,37,1,12,1
zappos-json,com.zappos.json,JsonType,72,54,26,0,17,2,18,1,5,1
zappos-json,com.zappos.json,JsonConfig.WriterConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonReader,859,0,128,0,204,0,103,0,33,0
zappos-json,com.zappos.json,JsonConfig,3,0,0,0,1,0,1,0,1,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator.AttributeInfo,55,0,0,0,14,0,8,0,8,0
zappos-json,com.zappos.json,JsonWriter,461,0,40,0,110,0,36,0,16,0
zappos-json,com.zappos.json,JsonReaderInvoker,62,0,0,0,11,0,2,0,2,0
zappos-json,com.zappos.json,JsonException,23,0,0,0,10,0,5,0,5,0
zappos-json,com.zappos.json,ZapposJson,615,104,107,1,149,22,73,3,19,3
zappos-json,com.zappos.json,JsonConfig.ReaderConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonBeanAttribute,69,6,2,0,25,2,14,2,13,2
zappos-json,com.zappos.json,JsonWriterInvoker,60,0,0,0,14,0,2,0,2,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator,1527,14,136,0,243,5,79,1,11,1
zappos-json,com.zappos.json,JsonReaderCodeGenerator.TypeInfo,42,0,0,0,10,0,5,0,5,0
zappos-json,com.zappos.json,JsonBeanIntrospector,266,6,36,0,61,3,21,1,3,1
zappos-json,com.zappos.json,ZapposJson.ZapposJsonSingleton,3,24,0,0,1,3,1,2,1,2
zappos-json,com.zappos.json,JsonReaderCodeGenerator.PathAndCode,71,0,14,0,23,0,12,0,5,0
zappos-json,com.zappos.json,JsonWriterCodeGenerator,1214,14,56,0,204,5,38,1,10,1
zappos-json,com.zappos.json.wrapper,ArrayTypeWrapper,17,0,0,0,7,0,5,0,5,0
zappos-json,com.zappos.json.format,NoOpValueFormatter,20,0,0,0,5,0,5,0,5,0
zappos-json,com.zappos.json.format,BigDecimalFormatter,48,3,4,0,10,1,6,1,4,1
zappos-json,com.zappos.json.format,AbstractNumberFormatter,14,7,2,0,4,2,2,2,1,2
zappos-json,com.zappos.json.format,JavaTimeInstantFormatter,49,6,4,0,11,2,7,1,5,1
zappos-json,com.zappos.json.format,JavaTimestampFormatter,48,3,4,0,8,1,6,1,4,1
zappos-json,com.zappos.json.format,BigIntegerFormatter,46,3,4,0,9,1,6,1,4,1
zappos-json,com.zappos.json.format,JavaTimeLocalDateFormatter,35,6,0,0,7,2,5,1,5,1
zappos-json,com.zappos.json.format,JavaDateFormatter,44,3,4,0,8,1,6,1,4,1
zappos-json,com.zappos.json.format,AbstractValueFormatter,40,6,2,0,13,2,7,1,6,1
zappos-json,com.zappos.json.format,JavaSqlDateFormatter,54,3,4,0,8,1,7,1,5,1
