GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jInstagram,org.jinstagram.realtime,SubscriptionUtil.VerificationResult,15,0,0,0,6,0,3,0,3,0
jInstagram,org.jinstagram.realtime,SubscriptionType,59,0,0,0,9,0,3,0,3,0
jInstagram,org.jinstagram.realtime,SubscriptionResponseData,45,0,0,0,19,0,13,0,13,0
jInstagram,org.jinstagram.realtime,SubscriptionUtil,73,0,0,0,17,0,3,0,3,0
jInstagram,org.jinstagram.realtime,SubscriptionResponseObject,3,35,0,0,1,15,1,10,1,10
jInstagram,org.jinstagram.realtime,SubscriptionResponse,17,0,0,0,7,0,5,0,5,0
jInstagram,org.jinstagram.realtime,InstagramSubscription,403,0,8,0,97,0,24,0,20,0
jInstagram,org.jinstagram.realtime,SubscriptionsListResponse,17,0,0,0,7,0,5,0,5,0
jInstagram,org.jinstagram.realtime,Constants,3,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.auth,InstagramApi,62,0,2,0,10,0,7,0,6,0
jInstagram,org.jinstagram.auth,InstagramAuthService,88,0,2,0,27,0,9,0,8,0
jInstagram,org.jinstagram.auth,InstagramApi.new AccessTokenExtractor() {...},64,0,4,0,12,0,4,0,2,0
jInstagram,org.jinstagram.auth.exceptions,OAuthParametersMissingException,11,0,0,0,2,0,1,0,1,0
jInstagram,org.jinstagram.auth.exceptions,OAuthException,10,0,0,0,4,0,2,0,2,0
jInstagram,org.jinstagram.auth.model,OAuthRequest,62,0,4,0,10,0,7,0,5,0
jInstagram,org.jinstagram.auth.model,Verifier,12,0,0,0,5,0,2,0,2,0
jInstagram,org.jinstagram.auth.model,OAuthConstants,7,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.auth.model,OAuthConfig,28,38,3,1,8,12,9,4,7,4
jInstagram,org.jinstagram.auth.model,Token,50,0,2,0,13,0,7,0,6,0
jInstagram,org.jinstagram.entity.common,Location,27,31,0,0,1,13,1,9,1,9
jInstagram,org.jinstagram.entity.common,FromTagData,53,3,0,0,13,1,9,1,9,1
