GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zappos-json,com.zappos.json.annot,JsonEnum.EnumValue,0,24,0,0,0,2,0,1,0,1
zappos-json,com.zappos.json.util,Strings,118,163,19,17,27,33,15,12,3,6
zappos-json,com.zappos.json.util,ObjectArray,144,0,14,0,31,0,18,0,11,0
zappos-json,com.zappos.json.util,TypeImpl,115,0,22,0,24,0,16,0,5,0
zappos-json,com.zappos.json.util,JsonUtils,137,119,25,8,43,29,21,4,4,2
zappos-json,com.zappos.json.util,Reflections,201,50,45,5,51,14,33,5,9,4
zappos-json,com.zappos.json,JsonType,72,54,26,0,17,2,18,1,5,1
zappos-json,com.zappos.json,JsonConfig.WriterConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonReader,859,0,128,0,204,0,103,0,33,0
zappos-json,com.zappos.json,JsonConfig,3,0,0,0,1,0,1,0,1,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator.AttributeInfo,55,0,0,0,14,0,8,0,8,0
zappos-json,com.zappos.json,JsonWriter,391,70,37,3,91,19,31,5,12,4
zappos-json,com.zappos.json,JsonReaderInvoker,62,0,0,0,11,0,2,0,2,0
zappos-json,com.zappos.json,JsonException,23,0,0,0,10,0,5,0,5,0
zappos-json,com.zappos.json,ZapposJson,578,141,105,3,139,32,68,8,14,8
zappos-json,com.zappos.json,JsonConfig.ReaderConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonBeanAttribute,27,48,2,0,9,18,6,10,5,10
zappos-json,com.zappos.json,JsonWriterInvoker,60,0,0,0,14,0,2,0,2,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator,1527,14,136,0,243,5,79,1,11,1
zappos-json,com.zappos.json,JsonReaderCodeGenerator.TypeInfo,42,0,0,0,10,0,5,0,5,0
zappos-json,com.zappos.json,JsonBeanIntrospector,266,6,36,0,61,3,21,1,3,1
zappos-json,com.zappos.json,ZapposJson.ZapposJsonSingleton,0,27,0,0,0,4,0,3,0,3
zappos-json,com.zappos.json,JsonReaderCodeGenerator.PathAndCode,71,0,14,0,23,0,12,0,5,0
zappos-json,com.zappos.json,JsonWriterCodeGenerator,1214,14,56,0,204,5,38,1,10,1
zappos-json,com.zappos.json.wrapper,ArrayTypeWrapper,0,17,0,0,0,7,0,5,0,5
zappos-json,com.zappos.json.format,NoOpValueFormatter,10,10,0,0,2,3,2,3,2,3
zappos-json,com.zappos.json.format,BigDecimalFormatter,44,7,4,0,9,2,5,2,3,2
zappos-json,com.zappos.json.format,AbstractNumberFormatter,14,7,2,0,4,2,2,2,1,2
zappos-json,com.zappos.json.format,JavaTimeInstantFormatter,28,27,4,0,6,7,4,4,2,4
zappos-json,com.zappos.json.format,JavaTimestampFormatter,43,8,4,0,7,2,5,2,3,2
zappos-json,com.zappos.json.format,BigIntegerFormatter,41,8,4,0,8,2,5,2,3,2
zappos-json,com.zappos.json.format,JavaTimeLocalDateFormatter,19,22,0,0,3,6,3,3,3,3
zappos-json,com.zappos.json.format,JavaDateFormatter,35,12,4,0,6,3,4,3,2,3
zappos-json,com.zappos.json.format,AbstractValueFormatter,32,14,2,0,10,5,5,3,4,3
zappos-json,com.zappos.json.format,JavaSqlDateFormatter,35,22,2,2,5,4,4,4,3,3
