GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jInstagram,org.jinstagram.realtime,SubscriptionUtil.VerificationResult,15,0,0,0,6,0,3,0,3,0
jInstagram,org.jinstagram.realtime,SubscriptionType,3,56,0,0,1,8,1,2,1,2
jInstagram,org.jinstagram.realtime,SubscriptionResponseData,0,45,0,0,0,19,0,13,0,13
jInstagram,org.jinstagram.realtime,SubscriptionUtil,73,0,0,0,17,0,3,0,3,0
jInstagram,org.jinstagram.realtime,SubscriptionResponseObject,0,38,0,0,0,16,0,11,0,11
jInstagram,org.jinstagram.realtime,SubscriptionResponse,7,10,0,0,3,4,2,3,2,3
jInstagram,org.jinstagram.realtime,InstagramSubscription,373,30,8,0,89,8,22,2,18,2
jInstagram,org.jinstagram.realtime,SubscriptionsListResponse,7,10,0,0,3,4,2,3,2,3
jInstagram,org.jinstagram.realtime,Constants,3,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.auth,InstagramApi,62,0,2,0,10,0,7,0,6,0
jInstagram,org.jinstagram.auth,InstagramAuthService,88,0,2,0,27,0,9,0,8,0
jInstagram,org.jinstagram.auth,InstagramApi.new AccessTokenExtractor() {...},64,0,4,0,12,0,4,0,2,0
jInstagram,org.jinstagram.auth.exceptions,OAuthParametersMissingException,11,0,0,0,2,0,1,0,1,0
jInstagram,org.jinstagram.auth.exceptions,OAuthException,10,0,0,0,4,0,2,0,2,0
jInstagram,org.jinstagram.auth.model,OAuthRequest,20,42,3,1,1,9,2,5,0,5
jInstagram,org.jinstagram.auth.model,Verifier,12,0,0,0,5,0,2,0,2,0
jInstagram,org.jinstagram.auth.model,OAuthConstants,7,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.auth.model,OAuthConfig,0,66,0,4,0,20,0,13,0,11
jInstagram,org.jinstagram.auth.model,Token,20,30,1,1,2,11,2,5,1,5
jInstagram,org.jinstagram.entity.common,Location,27,31,0,0,1,13,1,9,1,9
jInstagram,org.jinstagram.entity.common,FromTagData,9,47,0,0,3,11,3,7,3,7
jInstagram,org.jinstagram.entity.common,Pagination,0,95,0,2,0,24,0,18,0,17
jInstagram,org.jinstagram.entity.common,Comments,23,10,0,0,4,4,3,3,3,3
jInstagram,org.jinstagram.entity.common,Meta,0,45,0,0,0,11,0,8,0,8
jInstagram,org.jinstagram.entity.common,UsersInPhoto,0,17,0,0,0,7,0,5,0,5
jInstagram,org.jinstagram.entity.common,GridPosition,0,17,0,0,0,7,0,5,0,5
jInstagram,org.jinstagram.entity.common,Caption,25,31,0,0,1,13,1,9,1,9
jInstagram,org.jinstagram.entity.common,VideoData,0,46,0,0,0,12,0,8,0,8
jInstagram,org.jinstagram.entity.common,InstagramErrorResponse,115,0,13,0,22,0,11,0,4,0
jInstagram,org.jinstagram.entity.common,Videos,15,17,0,0,1,7,1,5,1,5
jInstagram,org.jinstagram.entity.common,ImageData,0,46,0,0,0,12,0,8,0,8
jInstagram,org.jinstagram.entity.common,Likes,23,10,0,0,4,4,3,3,3,3
jInstagram,org.jinstagram.entity.common,User,0,80,0,0,0,20,0,14,0,14
jInstagram,org.jinstagram.entity.common,Images,0,44,0,0,0,11,0,8,0,8
jInstagram,org.jinstagram,InstagramConfig,0,109,0,0,0,34,0,16,0,16
