GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tabula,technology.tabula.json,TableSerializer,101,0,4,0,19,0,4,0,2,0
Tabula,technology.tabula.json,RectangularTextContainerSerializer,40,0,0,0,8,0,2,0,2,0
Tabula,technology.tabula.extractors,SpreadsheetExtractionAlgorithm.PolygonVertex,53,0,4,0,11,0,6,0,4,0
Tabula,technology.tabula.extractors,BasicExtractionAlgorithm.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Tabula,technology.tabula.extractors,BasicExtractionAlgorithm.new Comparator() {...},14,0,0,0,2,0,2,0,2,0
Tabula,technology.tabula.extractors,SpreadsheetExtractionAlgorithm,863,10,90,0,165,4,53,3,8,3
Tabula,technology.tabula.extractors,BasicExtractionAlgorithm,388,11,44,0,77,5,26,2,4,2
Tabula,technology.tabula.extractors,SpreadsheetExtractionAlgorithm.Direction,24,0,0,0,3,0,1,0,1,0
Tabula,technology.tabula.debug,Debug,1194,0,74,0,224,0,57,0,20,0
Tabula,technology.tabula,QuickSort.new Comparator() {...},0,8,0,0,0,2,0,2,0,2
Tabula,technology.tabula,Rectangle,150,326,19,11,18,51,16,23,2,22
Tabula,technology.tabula,CellPosition,66,0,12,0,12,0,10,0,4,0
Tabula,technology.tabula,ProjectionProfile,666,40,58,2,112,5,41,2,12,1
Tabula,technology.tabula,RectangularTextContainer,61,36,3,1,8,10,5,4,3,4
Tabula,technology.tabula,Rectangle.new Comparator() {...},11,31,3,5,0,7,2,4,0,2
Tabula,technology.tabula,Utils,748,45,88,4,125,9,63,2,17,2
Tabula,technology.tabula,CohenSutherlandClipping,244,3,28,0,36,1,18,1,4,1
Tabula,technology.tabula,Line,75,125,6,8,13,24,5,10,1,7
Tabula,technology.tabula,QuickSort,14,169,1,13,4,38,1,13,0,7
Tabula,technology.tabula,CommandLineApp.TableExtractor,179,0,17,0,46,0,18,0,9,0
Tabula,technology.tabula,PageIterator,41,0,2,0,14,0,5,0,4,0
Tabula,technology.tabula,TextElement,682,0,100,0,138,0,64,0,14,0
Tabula,technology.tabula,PageDims,0,35,0,0,0,11,0,6,0,6
Tabula,technology.tabula,Pair,3,12,0,0,1,5,1,2,1,2
Tabula,technology.tabula,CommandLineApp.DebugOutput,16,0,2,0,6,0,3,0,2,0
Tabula,technology.tabula,Cell,6,111,2,6,2,25,3,9,1,7
Tabula,technology.tabula,Ruling.new Object() {...},12,0,0,0,5,0,1,0,1,0
Tabula,technology.tabula,TextChunk,708,215,116,10,138,46,73,9,12,7
Tabula,technology.tabula,Ruling.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
Tabula,technology.tabula,Ruling.new Comparator() {...},74,0,18,0,13,0,11,0,2,0
Tabula,technology.tabula,ObjectExtractorStreamEngine.PointComparator,52,0,8,0,14,0,6,0,2,0
Tabula,technology.tabula,Ruling.new Comparator() {...},37,0,8,0,6,0,6,0,2,0
Tabula,technology.tabula,Ruling.SOType,0,34,0,0,0,1,0,1,0,1
Tabula,technology.tabula,RectangleSpatialIndex,108,0,4,0,16,0,7,0,5,0
Tabula,technology.tabula,TextStripper,332,0,48,0,71,0,33,0,9,0
Tabula,technology.tabula,Utils.new AbstractList() {...},21,0,0,0,3,0,3,0,3,0
Tabula,technology.tabula,CommandLineApp,946,0,76,0,224,0,59,0,19,0
Tabula,technology.tabula,Table,122,49,12,0,21,16,10,8,4,8
Tabula,technology.tabula,CommandLineApp.new FilenameFilter() {...},10,0,0,0,2,0,2,0,2,0
Tabula,technology.tabula,ObjectExtractorStreamEngine,438,0,40,0,116,0,42,0,21,0
Tabula,technology.tabula,Ruling.new Comparator() {...},20,3,2,0,2,1,2,1,1,1
Tabula,technology.tabula,Utils.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
Tabula,technology.tabula,TableWithRulingLines.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
Tabula,technology.tabula,Utils.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
Tabula,technology.tabula,Page.Builder,79,0,0,0,22,0,12,0,12,0
Tabula,technology.tabula,CommandLineApp.OutputFormat,57,0,2,0,9,0,3,0,2,0
Tabula,technology.tabula,CommandLineApp.ExtractionMethod,34,0,0,0,4,0,1,0,1,0
Tabula,technology.tabula,Ruling,934,14,133,1,170,4,105,2,37,2
Tabula,technology.tabula,CohenSutherlandClipping.Point,5,65,4,6,0,11,4,4,0,3
Tabula,technology.tabula,TextChunk.DirectionalityOptions,0,34,0,0,0,2,0,1,0,1
Tabula,technology.tabula,ObjectExtractor,142,0,8,0,34,0,10,0,6,0
Tabula,technology.tabula,TableWithRulingLines,199,0,16,0,48,0,11,0,3,0
Tabula,technology.tabula,Page,548,0,28,0,122,0,46,0,32,0
Tabula,technology.tabula.writers,CSVWriter,76,0,6,0,18,0,7,0,4,0
Tabula,technology.tabula.writers,TSVWriter,4,0,0,0,2,0,1,0,1,0
Tabula,technology.tabula.writers,JSONWriter.new ExclusionStrategy() {...},13,0,2,0,3,0,4,0,3,0
Tabula,technology.tabula.writers,JSONWriter,65,0,2,0,17,0,6,0,5,0
Tabula,technology.tabula.detectors,NurminenDetectionAlgorithm.RelevantEdges,9,0,0,0,4,0,1,0,1,0
Tabula,technology.tabula.detectors,NurminenDetectionAlgorithm.TextEdge,10,0,0,0,3,0,1,0,1,0
Tabula,technology.tabula.detectors,NurminenDetectionAlgorithm.new Comparator() {...},36,0,8,0,11,0,6,0,2,0
Tabula,technology.tabula.detectors,SpreadsheetDetectionAlgorithm,21,0,0,0,6,0,2,0,2,0
Tabula,technology.tabula.detectors,NurminenDetectionAlgorithm,1981,0,234,0,391,0,134,0,16,0
Tabula,technology.tabula.detectors,NurminenDetectionAlgorithm.TextEdges,16,0,0,0,5,0,1,0,1,0
