GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nbvcxz,me.gosimple.nbvcxz,Nbvcxz,1078,140,144,6,218,35,89,9,14,9
nbvcxz,me.gosimple.nbvcxz,Nbvcxz.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
nbvcxz,me.gosimple.nbvcxz,Nbvcxz.StartIndexComparator,39,0,10,0,10,0,6,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.PartialDateSplit,9,0,0,0,4,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DictionaryMatcher,216,516,32,62,30,99,26,27,1,5
nbvcxz,me.gosimple.nbvcxz.matching,SeparatorMatcher,105,7,20,0,21,2,11,2,1,2
nbvcxz,me.gosimple.nbvcxz.matching,RepeatMatcher,32,115,8,8,5,25,6,4,0,2
nbvcxz,me.gosimple.nbvcxz.matching,SpacialMatcher,25,147,2,16,1,29,2,9,0,2
nbvcxz,me.gosimple.nbvcxz.matching,SequenceMatcher,77,147,17,23,22,25,13,9,0,2
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.ValidDateSplit,12,0,0,0,5,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,YearMatcher,16,19,1,1,1,6,1,2,0,2
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.FullDateSplit,12,0,0,0,5,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher,327,108,39,11,54,23,22,9,1,5
nbvcxz,me.gosimple.nbvcxz.matching.match,RepeatMatch,55,50,1,1,9,10,2,4,1,4
nbvcxz,me.gosimple.nbvcxz.matching.match,SeparatorMatch,10,0,0,0,3,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching.match,SpacialMatch,0,196,0,8,0,37,0,10,0,6
nbvcxz,me.gosimple.nbvcxz.matching.match,YearMatch,0,13,0,0,0,4,0,2,0,2
nbvcxz,me.gosimple.nbvcxz.matching.match,DateMatch,76,57,1,5,12,17,2,8,1,6
nbvcxz,me.gosimple.nbvcxz.matching.match,DictionaryMatch,142,323,10,34,24,69,9,27,1,13
nbvcxz,me.gosimple.nbvcxz.matching.match,BruteForceMatch,26,0,0,0,5,0,2,0,2,0
nbvcxz,me.gosimple.nbvcxz.matching.match,BaseMatch,10,198,2,6,2,44,2,14,0,12
nbvcxz,me.gosimple.nbvcxz.matching.match,SequenceMatch,34,51,2,6,7,13,3,5,1,3
nbvcxz,me.gosimple.nbvcxz.resources,Configuration,0,85,0,0,0,28,0,14,0,14
nbvcxz,me.gosimple.nbvcxz.resources,Dictionary,0,125,0,10,0,28,0,12,0,7
nbvcxz,me.gosimple.nbvcxz.resources,CharacterCaseUtil,7,50,2,10,2,13,3,5,1,1
nbvcxz,me.gosimple.nbvcxz.resources,FeedbackUtil,213,136,29,21,22,33,26,3,2,2
nbvcxz,me.gosimple.nbvcxz.resources,Feedback,36,48,2,0,8,16,3,5,2,5
nbvcxz,me.gosimple.nbvcxz.resources,ConfigurationBuilder,88,730,14,16,25,104,23,21,11,18
nbvcxz,me.gosimple.nbvcxz.resources,DictionaryUtil,25,119,0,6,5,24,1,5,1,2
nbvcxz,me.gosimple.nbvcxz.resources,BruteForceUtil,10,138,7,43,5,49,8,20,1,2
nbvcxz,me.gosimple.nbvcxz.resources,BestMatches,5,25,0,0,2,10,1,5,1,5
nbvcxz,me.gosimple.nbvcxz.resources,Dictionary.new Comparator() {...},0,20,0,2,0,5,0,3,0,2
nbvcxz,me.gosimple.nbvcxz.resources,AdjacencyGraph,0,19,0,0,0,7,0,4,0,4
nbvcxz,me.gosimple.nbvcxz.resources,Generator.CharacterTypes,0,44,0,0,0,5,0,1,0,1
nbvcxz,me.gosimple.nbvcxz.resources,DictionaryBuilder,0,56,0,2,0,13,0,7,0,6
nbvcxz,me.gosimple.nbvcxz.resources,Generator,60,51,5,6,10,16,6,5,3,1
nbvcxz,me.gosimple.nbvcxz.resources,AdjacencyGraphUtil,9,7356,4,46,5,283,5,27,1,6
nbvcxz,me.gosimple.nbvcxz.scoring,TimeEstimate,257,0,16,0,29,0,11,0,3,0
nbvcxz,me.gosimple.nbvcxz.scoring,Result,50,136,13,11,13,31,11,14,2,11
