GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jInstagram,org.jinstagram.realtime,SubscriptionUtil.VerificationResult,3,12,0,0,1,5,1,2,1,2
jInstagram,org.jinstagram.realtime,SubscriptionType,3,56,0,0,1,8,1,2,1,2
jInstagram,org.jinstagram.realtime,SubscriptionResponseData,0,45,0,0,0,19,0,13,0,13
jInstagram,org.jinstagram.realtime,SubscriptionUtil,43,30,0,0,11,6,2,1,2,1
jInstagram,org.jinstagram.realtime,SubscriptionResponseObject,0,38,0,0,0,16,0,11,0,11
jInstagram,org.jinstagram.realtime,SubscriptionResponse,7,10,0,0,3,4,2,3,2,3
jInstagram,org.jinstagram.realtime,InstagramSubscription,312,91,5,3,77,20,19,5,16,4
jInstagram,org.jinstagram.realtime,SubscriptionsListResponse,7,10,0,0,3,4,2,3,2,3
jInstagram,org.jinstagram.realtime,Constants,3,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.auth,InstagramApi,49,13,2,0,6,4,3,4,2,4
jInstagram,org.jinstagram.auth,InstagramAuthService,88,0,2,0,27,0,9,0,8,0
jInstagram,org.jinstagram.auth,InstagramApi.new AccessTokenExtractor() {...},64,0,4,0,12,0,4,0,2,0
jInstagram,org.jinstagram.auth.exceptions,OAuthParametersMissingException,11,0,0,0,2,0,1,0,1,0
jInstagram,org.jinstagram.auth.exceptions,OAuthException,10,0,0,0,4,0,2,0,2,0
jInstagram,org.jinstagram.auth.model,OAuthRequest,20,42,3,1,1,9,2,5,0,5
jInstagram,org.jinstagram.auth.model,Verifier,12,0,0,0,5,0,2,0,2,0
jInstagram,org.jinstagram.auth.model,OAuthConstants,7,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.auth.model,OAuthConfig,0,66,0,4,0,20,0,13,0,11
jInstagram,org.jinstagram.auth.model,Token,20,30,1,1,2,11,2,5,1,5
jInstagram,org.jinstagram.entity.common,Location,27,31,0,0,1,13,1,9,1,9
jInstagram,org.jinstagram.entity.common,FromTagData,0,56,0,0,0,14,0,10,0,10
jInstagram,org.jinstagram.entity.common,Pagination,1,94,1,1,0,24,1,17,0,17
jInstagram,org.jinstagram.entity.common,Comments,16,17,0,0,1,7,1,5,1,5
jInstagram,org.jinstagram.entity.common,Meta,0,45,0,0,0,11,0,8,0,8
jInstagram,org.jinstagram.entity.common,UsersInPhoto,0,17,0,0,0,7,0,5,0,5
jInstagram,org.jinstagram.entity.common,GridPosition,0,17,0,0,0,7,0,5,0,5
jInstagram,org.jinstagram.entity.common,Caption,25,31,0,0,1,13,1,9,1,9
jInstagram,org.jinstagram.entity.common,VideoData,0,46,0,0,0,12,0,8,0,8
jInstagram,org.jinstagram.entity.common,InstagramErrorResponse,115,0,13,0,22,0,11,0,4,0
jInstagram,org.jinstagram.entity.common,Videos,15,17,0,0,1,7,1,5,1,5
jInstagram,org.jinstagram.entity.common,ImageData,0,46,0,0,0,12,0,8,0,8
jInstagram,org.jinstagram.entity.common,Likes,0,33,0,0,0,8,0,6,0,6
jInstagram,org.jinstagram.entity.common,User,0,80,0,0,0,20,0,14,0,14
jInstagram,org.jinstagram.entity.common,Images,0,44,0,0,0,11,0,8,0,8
jInstagram,org.jinstagram,InstagramConfig,0,109,0,0,0,34,0,16,0,16
jInstagram,org.jinstagram,Instagram,333,0,32,0,65,0,28,0,12,0
jInstagram,org.jinstagram,InstagramBase,1805,0,100,0,327,0,120,0,70,0
jInstagram,org.jinstagram,InstagramObject,15,3,0,0,5,1,4,1,4,1
jInstagram,org.jinstagram,InstagramOembed,168,0,12,0,33,0,12,0,6,0
jInstagram,org.jinstagram.entity.locations,LocationInfo,10,10,0,0,1,4,1,3,1,3
jInstagram,org.jinstagram.entity.locations,LocationSearchFeed,10,10,0,0,1,4,1,3,1,3
jInstagram,org.jinstagram.model,Scope,48,0,0,0,6,0,2,0,2,0
jInstagram,org.jinstagram.model,Relationship,68,0,0,0,3,0,2,0,2,0
jInstagram,org.jinstagram.model,QueryParam,3,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.model,Methods,3,0,0,0,1,0,1,0,1,0
jInstagram,org.jinstagram.model,Constants,3,14,0,0,1,1,1,1,1,1
jInstagram,org.jinstagram.http,Request,129,217,11,5,24,54,10,28,4,26
jInstagram,org.jinstagram.http,Verbs,0,44,0,0,0,2,0,1,0,1
jInstagram,org.jinstagram.http,URLUtils,116,210,7,15,27,42,7,16,2,10
jInstagram,org.jinstagram.http,URLUtils.EncodingRule,0,16,0,0,0,5,0,2,0,2
jInstagram,org.jinstagram.http,HttpStatus,765,0,0,0,69,0,4,0,4,0
jInstagram,org.jinstagram.http,APILimitUtils,25,24,1,1,4,8,2,3,1,3
jInstagram,org.jinstagram.http,Response,129,0,18,0,31,0,19,0,10,0
jInstagram,org.jinstagram.http,StreamUtils,45,0,4,0,12,0,3,0,1,0
jInstagram,org.jinstagram.entity.likes,LikesFeed,0,32,0,0,0,8,0,6,0,6
jInstagram,org.jinstagram.utils,PaginationHelper,42,0,2,0,10,0,3,0,2,0
jInstagram,org.jinstagram.utils,PaginationHelper.Page,6,13,0,0,2,5,2,2,2,2
jInstagram,org.jinstagram.utils,MapUtils,84,38,8,2,16,9,7,3,3,2
jInstagram,org.jinstagram.utils,EnforceSignedHeaderUtils,56,0,0,0,12,0,2,0,2,0
jInstagram,org.jinstagram.utils,EnforceSignedRequestUtils,101,0,2,0,16,0,4,0,3,0
jInstagram,org.jinstagram.utils,Preconditions,6,97,2,10,1,29,3,16,1,12
jInstagram,org.jinstagram.utils,LogHelper,96,0,2,0,15,0,6,0,5,0
jInstagram,org.jinstagram.entity.relationships,RelationshipData,0,39,0,0,0,11,0,8,0,8
jInstagram,org.jinstagram.entity.relationships,RelationshipFeed,0,32,0,0,0,8,0,6,0,6
jInstagram,org.jinstagram.exceptions,InstagramBadRequestException,26,0,0,0,10,0,5,0,5,0
jInstagram,org.jinstagram.exceptions,InstagramRateLimitException,26,0,0,0,10,0,5,0,5,0
jInstagram,org.jinstagram.exceptions,InstagramException,52,24,2,2,18,9,6,4,4,4
jInstagram,org.jinstagram.entity.users.feed,MediaFeedData,0,191,0,0,0,52,0,34,0,34
jInstagram,org.jinstagram.entity.users.feed,CarouselMedia,3,53,0,0,1,13,1,9,1,9
jInstagram,org.jinstagram.entity.users.feed,UserFeedData,0,94,0,0,0,26,0,18,0,18
jInstagram,org.jinstagram.entity.users.feed,MediaFeed,3,41,0,0,1,10,1,7,1,7
jInstagram,org.jinstagram.entity.users.feed,UserFeed,3,41,0,0,1,10,1,7,1,7
jInstagram,org.jinstagram.entity.comments,CommentData,25,31,0,0,1,13,1,9,1,9
jInstagram,org.jinstagram.entity.comments,MediaCommentResponse,15,17,0,0,1,7,1,5,1,5
jInstagram,org.jinstagram.entity.comments,MediaCommentsFeed,0,32,0,0,0,8,0,6,0,6
