GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nbvcxz,me.gosimple.nbvcxz,Nbvcxz,1066,152,143,7,218,35,86,12,12,11
nbvcxz,me.gosimple.nbvcxz,Nbvcxz.new Comparator() {...},11,0,0,0,2,0,2,0,2,0
nbvcxz,me.gosimple.nbvcxz,Nbvcxz.StartIndexComparator,39,0,10,0,10,0,6,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.PartialDateSplit,9,0,0,0,4,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DictionaryMatcher,312,420,44,50,47,82,33,20,2,4
nbvcxz,me.gosimple.nbvcxz.matching,SeparatorMatcher,105,7,20,0,21,2,11,2,1,2
nbvcxz,me.gosimple.nbvcxz.matching,RepeatMatcher,111,36,14,2,18,12,8,2,0,2
nbvcxz,me.gosimple.nbvcxz.matching,SpacialMatcher,50,122,2,16,2,28,2,9,0,2
nbvcxz,me.gosimple.nbvcxz.matching,SequenceMatcher,91,133,17,23,26,21,14,8,0,2
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.ValidDateSplit,12,0,0,0,5,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,YearMatcher,16,19,1,1,1,6,1,2,0,2
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher.FullDateSplit,12,0,0,0,5,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching,DateMatcher,327,108,39,11,54,23,22,9,1,5
nbvcxz,me.gosimple.nbvcxz.matching.match,RepeatMatch,55,50,1,1,9,10,2,4,1,4
nbvcxz,me.gosimple.nbvcxz.matching.match,SeparatorMatch,10,0,0,0,3,0,1,0,1,0
nbvcxz,me.gosimple.nbvcxz.matching.match,SpacialMatch,0,196,0,8,0,37,0,10,0,6
nbvcxz,me.gosimple.nbvcxz.matching.match,YearMatch,0,13,0,0,0,4,0,2,0,2
nbvcxz,me.gosimple.nbvcxz.matching.match,DateMatch,76,57,1,5,12,17,2,8,1,6
nbvcxz,me.gosimple.nbvcxz.matching.match,DictionaryMatch,134,331,7,37,23,70,7,29,1,13
nbvcxz,me.gosimple.nbvcxz.matching.match,BruteForceMatch,26,0,0,0,5,0,2,0,2,0
nbvcxz,me.gosimple.nbvcxz.matching.match,BaseMatch,12,196,3,5,3,43,3,13,0,12
nbvcxz,me.gosimple.nbvcxz.matching.match,SequenceMatch,37,48,3,5,8,12,4,4,1,3
nbvcxz,me.gosimple.nbvcxz.resources,Configuration,0,85,0,0,0,28,0,14,0,14
nbvcxz,me.gosimple.nbvcxz.resources,Dictionary,0,125,0,10,0,28,0,12,0,7
nbvcxz,me.gosimple.nbvcxz.resources,CharacterCaseUtil,7,50,2,10,2,13,3,5,1,1
nbvcxz,me.gosimple.nbvcxz.resources,FeedbackUtil,213,136,29,21,22,33,26,3,2,2
nbvcxz,me.gosimple.nbvcxz.resources,Feedback,36,48,2,0,8,16,3,5,2,5
nbvcxz,me.gosimple.nbvcxz.resources,ConfigurationBuilder,52,766,14,16,16,113,22,22,8,21
nbvcxz,me.gosimple.nbvcxz.resources,DictionaryUtil,25,119,0,6,5,24,1,5,1,2
nbvcxz,me.gosimple.nbvcxz.resources,BruteForceUtil,21,127,17,33,11,43,18,10,1,2
nbvcxz,me.gosimple.nbvcxz.resources,BestMatches,5,25,0,0,2,10,1,5,1,5
nbvcxz,me.gosimple.nbvcxz.resources,Dictionary.new Comparator() {...},0,20,0,2,0,5,0,3,0,2
nbvcxz,me.gosimple.nbvcxz.resources,AdjacencyGraph,0,19,0,0,0,7,0,4,0,4
nbvcxz,me.gosimple.nbvcxz.resources,Generator.CharacterTypes,0,44,0,0,0,5,0,1,0,1
nbvcxz,me.gosimple.nbvcxz.resources,DictionaryBuilder,33,23,2,0,8,5,4,3,3,3
nbvcxz,me.gosimple.nbvcxz.resources,Generator,82,29,9,2,17,9,10,1,3,1
nbvcxz,me.gosimple.nbvcxz.resources,AdjacencyGraphUtil,201,7164,36,14,45,243,21,11,3,4
nbvcxz,me.gosimple.nbvcxz.scoring,TimeEstimate,257,0,16,0,29,0,11,0,3,0
nbvcxz,me.gosimple.nbvcxz.scoring,Result,48,138,12,12,13,31,10,15,2,11
